Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
F,1.3625,0.9625,0.325,18.24290325,9.25611175,4.6209685,4.7343665,7
F,1.65,1.3,0.45,41.730464000000005,19.6462035,8.901743,12.899022500000001,13
F,1.5375,1.3125,0.525,40.78075575,14.64251675,9.0434905,11.3398,17
M,1.775,1.35,0.4875,49.22890675,26.0531905,10.8578585,14.628342000000002,15
M,1.25,0.9375,0.325,18.030282,8.66077225,4.89028875,5.23689,9
M,1.425,1.15,0.3625,28.44872325,14.0330025,5.556502,6.633783,10
F,1.375,1.0875,0.3875,29.937071999999997,11.35397475,6.9739770000000005,9.08601475,15
M,1.45,1.1375,0.375,23.5584345,12.60135275,5.93922025,6.662132499999999,11
I,0.9125,0.675,0.225,5.556502,1.8710669999999998,1.0489315000000001,2.1262125,7
I,1.2125,0.9,0.35,15.365429,6.9456275,3.5436875,4.53592,7
M,1.2125,0.9375,0.3,15.03940975,6.90310325,3.47281375,4.819415,8
M,0.9,0.675,0.225,5.6982495,2.02698925,1.68679525,2.26796,7
M,1.3625,1.0625,0.3625,21.659018,7.654364999999999,5.216308000000001,6.662132499999999,10
I,1.225,0.9375,0.35,15.337079500000002,6.67630725,2.42388225,5.37223025,9
I,0.4,0.275,0.0625,0.5102909999999999,0.1417475,0.09922325,0.1417475,4
I,1.375,1.0375,0.3625,20.921931,9.42620875,4.847764499999999,6.3786375,9
I,1.1875,0.925,0.325,13.19669225,5.88252125,2.36718325,4.252425,8
M,1.4,1.15,0.4125,25.51455,7.399219500000001,5.06038575,8.788345,14
M,1.5875,1.2125,0.3875,33.43823525,13.56523575,7.86698625,9.53960675,11
I,1.125,0.875,0.25,12.47378,5.34388075,2.25378525,3.8271824999999997,8
M,1.5625,1.25,0.4625,39.81687275,16.17338975,8.2497045,10.0640725,11
F,1.325,1.075,0.375,20.638436,8.8733935,3.7137845,6.9456275,17
I,1.075,0.825,0.25,10.2341695,4.9328129999999994,2.11203775,2.6932025,8
I,0.525,0.4125,0.1125,1.190679,0.60951425,0.396893,0.4252425,5
M,1.5375,1.1875,0.35,29.44095575,13.31009025,7.144074000000001,8.06543275,8
M,1.4375,1.125,0.375,28.916490000000003,12.09106175,5.71242425,7.229122500000001,11
I,1.025,0.775,0.275,8.901743,3.40194,2.45223175,2.551455,7
I,1.1375,0.8875,0.3,12.74310025,5.0178614999999995,2.9483479999999997,4.252425,9
I,0.7625,0.575,0.2,4.422522,1.91359125,0.97805775,1.2757275,7
F,1.625,1.2375,0.575,43.6298805,17.0380495,11.226402,12.3320325,11
F,1.4875,1.0875,0.425,29.852023499999998,12.984071,6.1518415,8.50485,17
F,1.5875,1.275,0.475,38.11590275,14.35902175,8.12213175,10.602713,17
F,1.325,1.075,0.4,20.1564945,8.94426725,3.8838815,6.80388,15
M,1.725,1.375,0.5,54.7995835,19.447757,12.47378,15.308729999999999,16
I,1.2125,0.9375,0.3,16.51358375,7.24329725,3.89805625,4.139027,8
F,1.3125,1.0,0.375,21.47474625,9.48290775,4.63514325,5.2446575,9
M,1.35,1.05,0.325,23.3316385,10.77281,5.11708475,6.520385,10
M,1.75,1.35,0.5,45.25997675,17.90270925,10.56018875,13.834556,13
M,1.625,1.2375,0.4,36.5425055,17.42076775,8.901743,9.14271375,11
F,1.5125,1.1375,0.3875,24.437269,11.509897,4.1957260000000005,8.164655999999999,9
M,1.3625,1.025,0.3375,19.80212575,8.34892775,4.12485225,5.0178614999999995,9
F,1.425,1.125,0.4,24.79163775,10.149121000000001,4.4508715,8.50485,12
I,1.0375,0.8125,0.275,9.68135425,4.69184225,1.77184375,2.6932025,7
M,1.175,0.9125,0.3,12.54465375,4.819415,2.62232875,5.2446575,14
M,1.5,1.175,0.4,29.171635499999997,11.58077075,7.66853975,8.3631025,15
F,1.3,1.0375,0.4,21.8007655,8.34892775,4.01145425,7.5126175,12
M,1.5125,1.1875,0.3875,29.97959625,14.004653,5.783298,8.3631025,10
F,1.3375,1.0125,0.325,26.2799865,9.440383500000001,5.8683464999999995,8.46232575,9
F,1.5375,1.2625,0.4375,35.4652245,16.48523425,9.05766525,10.84368375,9
M,1.5125,1.175,0.425,36.088913500000004,16.23008875,7.0023265,9.922325,20
I,0.4625,0.3375,0.1,0.907184,0.340194,0.18427175,0.283495,5
I,1.3375,1.0125,0.325,19.57532975,8.788345,3.75630875,5.9533949999999995,9
M,1.4125,1.1375,0.4125,28.547946500000002,13.380964,6.39281225,7.37087,9
M,1.6875,1.3125,0.475,42.921143,17.8885345,8.29222875,11.3398,11
I,0.9375,0.7,0.225,9.19941275,3.5720370000000004,1.7293195,3.118445,8
F,1.6375,1.2875,0.425,39.70347475,12.37455675,8.51902475,10.489315,15
M,1.6375,1.3125,0.4375,38.42774725,16.44271,8.561549000000001,11.169703,10
I,0.725,0.5,0.15,3.16096925,1.5025235000000001,0.52446575,0.850485,5
F,1.5625,1.2,0.4,31.609692499999998,13.16834275,7.6827145,8.9300925,8
I,0.8875,0.675,0.225,7.144074000000001,3.01922175,1.5025235000000001,2.26796,6
M,0.775,0.5625,0.1875,4.847764499999999,1.65844575,1.03475675,1.417475,11
F,1.2375,1.0,0.325,18.01610725,7.8528115000000005,4.01145425,5.9533949999999995,11
F,1.45,1.125,0.375,27.499015000000004,12.1052365,5.40057975,8.3631025,9
I,0.8,0.575,0.175,4.649318,1.77184375,1.13398,1.2757275,5
M,1.325,1.0375,0.35,20.14231975,8.63242275,4.60679375,5.386405,10
F,1.575,1.2875,0.45,36.3724085,12.643877,8.37727725,11.623294999999999,12
I,1.6125,1.25,0.4,32.10580875,12.643877,7.257472,9.7805775,10
M,1.5375,1.2125,0.425,29.95124675,10.489315,6.67630725,10.0640725,14
I,0.7,0.6125,0.2,3.72795925,1.71514475,0.9355334999999999,1.190679,7
F,1.4625,1.15,0.3625,27.08794725,13.16834275,6.0100940000000005,7.6260155,9
I,1.3125,1.0,0.3,16.23008875,6.13766675,3.3735904999999997,4.819415,8
F,1.4,1.0875,0.325,24.8058125,12.26115875,4.89028875,6.095142500000001,9
M,1.65,1.3375,0.4875,38.725417,17.27902025,7.83863675,10.61688775,10
M,1.0125,0.7625,0.2,9.02931575,3.50116325,1.60174675,2.6932025,8
M,1.45,1.15,0.375,24.380570000000002,11.01378075,5.93922025,6.463686,10
I,1.2,0.9625,0.3,16.45688475,6.98815175,3.98310475,4.1957260000000005,8
M,1.45,1.1875,0.4125,34.03357475,15.03940975,7.7394134999999995,8.334753,10
F,1.5,1.1875,0.4125,32.16250775,13.73533275,6.3219385,9.2135875,16
F,1.3625,1.125,0.425,22.6796,8.3631025,4.6209685,7.087375,13
F,1.125,0.825,0.375,15.5638755,6.25106475,3.175144,5.10291,11
F,1.325,1.05,0.4,21.1203775,8.94426725,4.1106775,5.273007,10
I,1.375,1.1,0.375,23.99785175,10.432616000000001,5.8966959999999995,7.229122500000001,10
F,1.5625,1.25,0.4375,31.39707125,13.62193475,7.087375,10.61688775,12
M,1.4875,1.1625,0.375,27.37144225,11.396499,5.386405,7.7961125,9
I,1.0125,0.75,0.225,9.19941275,4.3374735,1.77184375,2.324659,7
M,1.5875,1.3,0.4375,36.627553999999996,17.0097,7.6260155,10.3475675,15
F,1.3125,1.075,0.375,23.79940525,10.90038275,4.9328129999999994,6.095142500000001,10
F,1.5875,1.25,0.4375,36.27318525,13.60776,8.51902475,11.056305,15
M,1.6,1.2625,0.4125,37.0527965,14.373196499999999,7.427569,11.623294999999999,17
F,1.4625,1.15,0.375,28.44872325,14.259798499999999,6.2652395,7.12989925,11
F,1.8125,1.325,0.475,51.95045875,23.530085,11.963489,12.47378,11
F,1.625,1.2625,0.4375,36.769301500000005,14.84096325,8.77417025,10.489315,12
M,1.55,1.225,0.375,33.8776525,14.69921575,6.22271525,8.9300925,13
I,1.35,1.075,0.3875,22.7646485,9.87980075,5.6699,6.23689,10
M,1.6,1.1875,0.4375,35.50774875,14.84096325,8.7032965,11.283101,12
I,0.9,0.6625,0.2375,6.90310325,2.67902775,1.68679525,2.4097075,6
I,0.8625,0.6375,0.2,5.6699,2.11203775,1.20485375,1.70097,8
I,1.5875,1.25,0.4125,42.2124055,20.269892499999997,9.76640275,10.24834425,11
M,1.4625,1.2125,0.4,27.385617,12.68640125,5.159609,9.63883,13
I,1.125,0.8625,0.275,12.6722265,5.7549485,2.324659,3.685435,8
F,1.45,1.125,0.3875,28.7180435,13.2959155,5.57067675,8.3631025,11
F,1.5625,1.225,0.3875,31.18445,13.5227115,6.67630725,9.02931575,10
F,1.6125,1.2875,0.425,39.81687275,15.989118,9.00096625,10.0640725,11
M,1.525,1.225,0.4125,32.9137695,15.06775925,6.22271525,10.035722999999999,11
M,1.325,1.025,0.3375,21.035329,9.695528999999999,5.14543425,5.51397775,9
F,1.675,1.375,0.4,43.27551175,24.777463,9.015141,12.47378,9
I,1.325,1.075,0.3625,17.56251525,8.7599955,3.41611475,6.520385,8
F,1.5125,1.175,0.3875,29.171635499999997,11.453198,6.59125875,8.3631025,12
F,1.3,0.975,0.3625,17.463292000000003,7.66853975,3.7137845,4.53592,9
I,0.6125,0.3625,0.1,1.3040770000000002,0.5386405,0.18427175,0.36854349999999997,3
I,1.2,0.9375,0.3375,16.45688475,7.78193775,3.58621175,4.53592,10
M,1.575,1.25,0.3875,34.60056475,15.80484625,6.30776375,8.0796075,11
I,1.3,0.9875,0.3125,16.51358375,7.04485075,3.52951275,4.40834725,9
F,1.5625,1.2125,0.45,29.568528499999996,12.57300325,6.19436575,8.788345,15
I,1.0875,0.875,0.325,10.8578585,4.40834725,1.91359125,3.8271824999999997,11
I,0.975,0.725,0.2125,6.53455975,2.50893075,1.31825175,2.1262125,8
F,1.75,1.4125,0.5125,52.09220625,19.63202875,13.39513875,16.44271,20
M,1.0375,0.7875,0.3125,13.721157999999999,6.10931725,2.891649,4.6776675,7
M,1.375,1.1125,0.35,22.1976585,10.489315,5.06038575,6.9456275,9
M,1.475,1.2375,0.425,30.71668325,12.82814875,6.5487345,8.986791499999999,11
M,1.3,1.0,0.3125,20.950280499999998,8.278054,5.65572525,5.2446575,8
I,0.9125,0.675,0.225,6.577083999999999,3.92640575,1.1623295,1.7860185000000002,7
I,0.9875,0.8125,0.2625,8.958442,3.52951275,1.9844650000000001,2.93417325,8
M,1.6625,1.3125,0.5125,38.215126,13.56523575,8.88756825,11.7650425,12
M,1.55,1.225,0.4125,34.1611475,16.48523425,7.41339425,10.0640725,10
F,1.25,0.95,0.35,16.34348675,6.78970525,3.5720370000000004,5.2446575,9
M,1.65,1.3,0.4375,39.179009,19.6462035,9.7805775,9.7805775,11
F,1.4,1.1,0.3375,22.92057075,8.3064035,5.216308000000001,7.37087,14
I,0.5625,0.425,0.1375,1.31825175,0.36854349999999997,0.226796,0.4252425,6
I,1.1875,0.875,0.3,14.118051000000001,6.73300625,2.8066005,3.9689300000000003,8
I,1.075,0.8125,0.25,10.41844125,4.46504625,1.91359125,2.9766974999999998,7
I,1.0875,0.8375,0.325,10.0640725,5.37223025,1.8994165,2.9766974999999998,7
M,1.6875,1.3125,0.4625,44.9906565,19.66037825,7.66853975,11.1980525,10
M,1.4875,1.1625,0.4375,30.43318825,13.99047825,6.13766675,8.91591775,11
I,0.675,0.55,0.1875,3.35941575,1.5592225,0.80796075,1.13398,6
I,1.3375,1.05,0.325,20.87940675,9.39785925,4.0823279999999995,5.811647499999999,9
F,1.4,1.1625,0.3625,21.21960075,9.48290775,3.72795925,6.23689,11
M,1.4375,1.15,0.35,24.153774,11.94931425,6.39281225,6.4353365,9
I,1.175,0.8875,0.35,13.04077,4.32329875,3.30271675,5.10291,11
F,1.5625,1.1875,0.4,33.8776525,15.37960375,8.1363065,9.4970825,9
F,1.525,1.125,0.325,24.73493875,11.0279555,4.86193925,7.711064,10
M,1.375,1.075,0.325,20.38193025,9.90815025,4.86193925,6.9739770000000005,9
I,1.425,1.0625,0.35,21.70154225,9.25611175,3.2885419999999996,6.70465675,9
F,1.35,1.05,0.3375,22.12678475,8.334753,5.8683464999999995,6.662132499999999,15
F,1.4125,1.025,0.3375,22.169309,8.09378225,4.32329875,7.37087,11
M,1.6,1.25,0.4125,37.137845,14.74174,7.314171000000001,10.489315,14
F,1.375,1.125,0.35,26.1665885,11.8784405,5.54232725,7.229122500000001,8
M,1.5625,1.2125,0.3875,30.34813975,13.48018725,5.57067675,9.39785925,10
M,1.3,1.0,0.3625,18.001932500000002,7.92368525,3.9972795,6.13766675,7
I,1.1625,0.9,0.3125,13.834556,5.329706,2.39553275,5.386405,8
M,1.5125,1.175,0.375,28.76056775,12.40290625,6.25106475,8.50485,10
M,1.45,1.1875,0.3625,25.344453,9.07184,5.556502,8.788345,10
F,1.75,1.3875,0.5125,51.8512355,23.189891,11.63746975,13.4660125,12
F,1.1875,0.9,0.3125,13.08329425,6.605433500000001,2.84912475,3.8271824999999997,9
F,1.5,1.175,0.35,28.78891725,14.89766225,5.74077375,7.7961125,8
I,1.2,0.9375,0.325,14.004653,6.76135575,2.36718325,4.252425,8
I,1.0125,0.7625,0.225,8.107957,4.309124,1.7293195,2.26796,7
I,1.0625,0.7875,0.2625,9.07184,4.80524025,2.324659,2.6932025,7
M,1.475,1.1875,0.3875,30.57493575,12.85649825,6.90310325,8.788345,10
F,1.3875,1.125,0.3875,23.23241525,9.62465525,3.98310475,7.937860000000001,18
I,0.8125,0.6,0.125,4.01145425,1.65844575,0.86465975,1.190679,6
F,1.0875,0.8625,0.3125,11.43902325,4.63514325,2.6081540000000003,3.9689300000000003,10
F,1.175,0.8875,0.3375,14.81261375,5.9533949999999995,3.40194,4.32329875,10
I,0.7625,0.5625,0.175,4.252425,1.85689225,0.97805775,1.03475675,4
F,1.5625,1.25,0.425,32.16250775,13.11164375,8.0796075,9.922325,10
I,1.3125,0.975,0.325,16.68368075,6.8889285000000005,3.01922175,5.5281525,10
I,1.125,0.825,0.25,11.9918385,6.30776375,2.22543575,2.83495,7
M,1.2875,1.025,0.35,19.43358225,7.10154975,4.01145425,6.633783,10
M,1.55,1.2125,0.3875,37.591437,13.6361095,7.824462,11.1980525,14
M,1.175,0.925,0.3125,12.785624499999999,5.3013565,2.87747425,4.3941725,8
F,1.2125,0.9875,0.3,16.896302,6.90310325,3.78465825,4.66349275,9
I,1.3125,1.025,0.35,19.40523275,8.4765005,4.847764499999999,5.811647499999999,10
F,1.475,1.1875,0.3625,29.852023499999998,12.23280925,7.200773,8.9300925,11
M,1.425,1.1125,0.35,24.67823975,11.141353500000001,5.386405,6.9456275,9
I,0.875,0.6375,0.2125,5.273007,2.48058125,1.09145575,1.8427175,6
M,1.2875,1.0,0.425,22.849697,7.399219500000001,5.59902625,6.9456275,8
F,1.2875,0.975,0.35,19.447757,9.8372765,3.92640575,5.5281525,10
M,1.325,1.05,0.325,19.80212575,7.7961125,3.95475525,5.59902625,8
I,1.475,1.15,0.3875,32.205032,14.92601175,6.08096775,9.355335,14
F,1.6,1.2,0.475,38.55532,15.03940975,6.73300625,13.324264999999999,10
I,0.6875,0.5125,0.1625,2.721552,0.9922325000000001,0.52446575,0.9922325000000001,6
I,1.0,0.725,0.2375,8.06543275,3.55786225,1.80019325,2.73572675,7
M,1.375,1.0875,0.325,21.0069795,8.561549000000001,4.01145425,7.229122500000001,9
F,1.425,1.075,0.325,22.94892025,10.16329575,5.8683464999999995,5.811647499999999,10
I,1.2125,0.925,0.2625,13.08329425,6.577083999999999,3.27436725,3.81300775,7
F,1.6125,1.2625,0.4125,35.19590425,14.69921575,7.1724235,9.02931575,12
M,1.7375,1.4,0.5,49.32813,16.93882625,10.53183925,14.599992499999999,21
I,0.7,0.5125,0.175,2.664853,0.94970825,0.56699,0.92135875,5
M,1.45,1.1625,0.325,25.61377325,9.7238785,5.48562825,7.229122500000001,11
F,1.5875,1.2375,0.4,33.5374585,15.03940975,7.6260155,9.63883,9
M,1.525,1.175,0.4,27.54153925,11.07047975,7.257472,7.5126175,11
I,1.1875,0.9125,0.25,13.53688625,6.10931725,2.154562,3.04757125,7
I,0.9875,0.7375,0.3125,9.00096625,3.44446425,1.927766,3.8271824999999997,16
I,0.7375,0.5375,0.1875,3.27436725,1.1623295,0.63786375,1.23320325,7
F,0.9375,0.675,0.2375,5.59902625,2.721552,1.74349425,1.85689225,6
M,1.5125,1.1625,0.4,28.066005,9.8372765,8.63242275,8.9300925,15
F,1.6,1.25,0.425,39.02308675,18.9091165,8.49067525,8.6465975,9
M,1.6,1.2125,0.4625,40.24211525,19.09338825,9.82310175,9.82310175,9
I,1.2625,0.95,0.35,16.896302,7.92368525,4.12485225,4.29494925,7
I,0.7375,0.5625,0.1875,3.64291075,1.757669,0.75126175,1.13398,5
M,1.6875,1.375,0.4875,50.24948875,23.17571625,10.8578585,13.891255,9
M,1.3625,1.0875,0.4,22.75047375,8.6465975,4.9044635,7.7961125,13
I,1.225,0.95,0.275,16.51358375,6.123492,3.86970675,4.819415,8
F,1.5375,1.2125,0.3875,31.127751,15.989118,6.25106475,8.788345,10
F,1.5125,1.175,0.425,30.85843075,10.95708175,6.4920355,9.2135875,12
I,1.0625,0.75,0.225,8.618248,3.6570855000000004,2.0128145,2.70737725,6
M,1.5125,1.1875,0.4375,31.241149,14.69921575,7.399219500000001,8.6465975,12
I,1.3875,1.0625,0.35,27.499015000000004,13.919604500000002,6.13766675,6.095142500000001,9
I,1.175,0.875,0.275,13.8062065,5.34388075,2.90582375,4.3941725,9
M,1.575,1.2,0.4,32.034935,15.40795325,7.767763,8.50485,9
M,1.55,1.2,0.3875,31.638042,13.70698325,6.78970525,8.3631025,10
F,1.0875,0.8375,0.25,10.8578585,4.32329875,2.4097075,3.118445,8
M,1.2375,0.9625,0.375,28.2077525,11.12717875,6.690482,7.937860000000001,8
I,1.2,0.925,0.3,14.92601175,6.84640425,2.87747425,4.1673765,8
I,1.3,1.0125,0.35,16.37183625,5.6699,4.1106775,5.0745605000000005,10
M,1.475,1.0125,0.3625,26.18076325,11.679994,6.05261825,6.23689,8
F,1.5375,1.1875,0.4375,32.034935,14.599992499999999,7.89533575,10.0640725,10
M,1.5625,1.225,0.3875,33.40988575,20.014747,7.399219500000001,8.2497045,10
I,0.45,0.3125,0.125,0.907184,0.35436875,0.226796,0.283495,4
M,1.575,1.2,0.4125,34.62891425,16.045817,7.89533575,8.334753,10
I,0.9125,0.65,0.2125,6.180191000000001,2.65067825,1.26155275,1.9844650000000001,7
F,1.325,1.075,0.375,18.55474775,7.98038425,3.8838815,5.9533949999999995,9
I,1.125,0.8375,0.25,14.92601175,6.25106475,2.67902775,4.819415,8
F,1.2625,0.975,0.375,20.28406725,7.6827145,5.06038575,6.80388,23
I,0.8125,0.6,0.2,3.3168915,1.587572,1.190679,1.417475,5
M,1.5625,1.25,0.475,34.8415355,14.855138,7.881161,11.07047975,11
F,1.2375,0.675,0.3375,16.924651500000003,7.711064,3.7137845,4.0823279999999995,8
F,1.475,1.175,0.4125,28.67551925,12.530479,6.42116175,8.50485,12
I,0.4625,0.325,0.1375,0.850485,0.25514549999999997,0.226796,0.25514549999999997,4
M,1.45,1.125,0.3625,25.51455,12.303683,5.71242425,7.937860000000001,11
M,1.55,1.2125,0.3875,34.8415355,14.855138,7.66853975,9.355335,10
M,1.525,1.2625,0.3625,32.16250775,14.3164975,7.52679225,8.9300925,10
M,1.45,1.125,0.4375,34.7848365,9.56795625,7.66853975,10.77281,13
M,1.6,1.275,0.4375,38.8104655,17.916884,9.68135425,12.88484775,11
I,1.2125,0.925,0.3,14.373196499999999,5.10291,3.86970675,4.3941725,8
I,0.6875,0.5125,0.1375,2.62232875,1.0489315000000001,0.56699,0.850485,5
M,1.5125,1.1875,0.4125,29.7386255,13.919604500000002,6.36446275,8.788345,9
F,1.425,1.15,0.55,32.21920675,12.9557215,6.22271525,13.437663,12
M,0.6875,0.5,0.225,2.6081540000000003,1.0489315000000001,0.56699,0.850485,6
M,1.25,0.9375,0.3125,16.42853525,6.19436575,4.86193925,4.3941725,9
I,0.925,0.7125,0.2,6.64795775,2.551455,1.6159215,1.9844650000000001,7
M,1.3375,1.0,0.3375,19.731251999999998,8.0796075,4.40834725,5.811647499999999,9
I,1.15,0.875,0.25,10.6310625,5.386405,2.4097075,3.33106625,6
M,1.3875,1.1,0.4125,24.323871,8.845044,5.386405,7.654364999999999,11
I,1.225,0.9625,0.3,16.40018575,7.1724235,3.1467945,3.9689300000000003,8
M,1.2,0.95,0.3,15.74814725,7.8528115000000005,3.2601925,4.53592,9
M,1.7375,1.325,0.4625,47.35783975,20.97863,11.49572225,11.906789999999999,11
M,1.575,1.2625,0.5,46.22385975,19.6462035,8.1363065,13.324264999999999,11
F,1.625,1.275,0.4375,36.32988425,18.2287285,7.767763,9.8939755,9
I,1.45,1.0875,0.375,22.29688175,10.149121000000001,4.9328129999999994,6.520385,10
M,1.7875,1.3125,0.45,50.745605,23.926978,10.02154825,15.26620575,13
M,1.0,0.75,0.25,9.752228,3.515338,1.3040770000000002,1.8994165,11
M,1.5875,1.2875,0.4,32.31843,13.60776,7.52679225,8.9300925,11
M,1.2125,0.9875,0.3375,31.730858,14.6566915,5.2446575,8.788345,10
I,0.7,0.525,0.1625,3.0900955000000003,1.17650425,0.592225,0.850485,6
F,1.5125,1.225,0.4,28.25027675,12.9557215,8.00873375,7.5126175,9
I,0.95,0.725,0.2375,7.75358825,3.5436875,1.51669825,2.1262125,6
I,0.8125,0.6125,0.2125,5.20213325,2.211261,1.417475,1.8427175,7
M,1.0625,0.8125,0.225,9.11436425,4.5075705,2.2963095,2.9766974999999998,9
I,1.2375,0.9375,0.325,16.48523425,7.10154975,3.01922175,4.819415,8
F,1.5625,1.2125,0.475,38.22930075,14.35902175,7.78193775,12.0485375,13
I,1.425,1.125,0.35,24.153774,11.311450500000001,5.03203625,6.9456275,9
I,1.2375,0.9625,0.3125,16.31513725,7.2858215,2.96252275,4.53592,8
M,1.6375,1.3125,0.475,41.900560999999996,17.10892325,8.49067525,11.623294999999999,12
M,1.7375,1.4375,0.475,47.10269425,25.33027825,11.2547515,13.60776,12
M,1.5375,1.225,0.425,31.269498499999997,13.31009025,6.67630725,9.07184,10
M,1.45,1.1625,0.375,29.69610125,13.2959155,6.605433500000001,8.3631025,10
I,1.3875,1.0875,0.3625,21.36134825,9.8939755,4.97533725,5.499803,8
F,1.575,1.2625,0.425,35.98969025,15.97494325,9.8372765,8.9300925,9
M,1.5,1.1875,0.375,31.751440000000002,16.0174675,6.98815175,7.654364999999999,9
I,1.2875,1.0,0.2875,20.921931,9.8939755,4.97533725,6.23689,10
I,1.4125,1.075,0.3875,23.7285315,11.651644500000002,5.00368675,6.80388,8
M,1.525,1.2,0.3875,29.63940225,12.94154675,6.78970525,8.74582075,11
F,1.7125,1.3375,0.5,43.47395825,20.2131935,9.5537815,11.3398,11
F,1.6875,1.3125,0.4125,37.9032815,16.924651500000003,8.561549000000001,11.906789999999999,10
F,1.225,0.9625,0.375,18.427175,7.72523875,3.89805625,6.23689,10
M,1.05,0.8,0.275,10.27669375,4.422522,1.80019325,2.9766974999999998,8
I,0.95,0.725,0.2375,7.937860000000001,4.7910655,1.77184375,2.1262125,7
I,1.575,1.2,0.3875,28.576296000000003,15.025235,5.79747275,7.087375,9
F,1.5875,1.225,0.3625,32.16250775,14.3164975,7.52679225,8.9300925,10
F,1.6125,1.2625,0.4125,33.06969175,13.947954000000001,8.54737425,10.0640725,17
M,1.3875,1.1,0.4375,25.798045000000002,8.85921875,5.37223025,10.0640725,14
F,1.75,1.3625,0.4375,49.17220775,19.220961,9.56795625,13.60776,9
F,1.775,1.25,0.375,37.32211675,19.37688325,7.98038425,6.520385,10
M,1.65,1.2625,0.4625,40.78075575,15.592225,8.0796075,13.324264999999999,16
F,1.225,0.9125,0.35,14.628342000000002,5.71242425,3.7421339999999996,4.3941725,9
I,0.7,0.525,0.15,2.494756,1.03475675,0.58116475,0.850485,5
I,0.7875,0.575,0.175,3.41611475,1.13398,0.83631025,1.13398,5
M,0.8,0.5625,0.175,4.6209685,2.154562,1.03475675,1.417475,6
F,1.4,1.125,0.35,28.094354499999998,13.42348825,6.64795775,7.5126175,10
I,0.75,0.55,0.175,3.6570855000000004,1.5592225,0.793786,1.13398,5
